Year,Semester,Section,Num in Sec,Facultad,Curriculo
2020,1,8,95,5,50014
2020,1,8,96,5,50014
2020,1,8,97,5,50014
2020,1,8,98,5,50014
2020,1,8,99,5,50014
2020,1,8,100,5,50014
2020,1,8,101,5,50014
2020,1,8,102,5,50014
2020,1,8,103,5,50014
2020,1,8,104,5,50014
2020,1,1,1,9,90001
2020,1,1,2,3,30001
2020,1,1,3,3,30001
2020,1,1,4,4,40013
2020,1,1,5,4,40013
2020,1,1,6,12,121401
2020,1,1,7,4,40013
2020,1,1,8,4,40013
2020,1,1,9,9,90001
2020,1,1,10,3,30001
2020,1,1,11,4,40013
2020,1,1,12,4,40013
2020,1,1,13,4,40013
2020,1,1,14,9,90001
2020,1,1,15,3,30001
2020,1,1,16,12,121401
2020,1,1,17,4,40013
2020,1,1,18,9,90001
2020,1,1,19,4,40013
2020,1,1,20,9,90001
2020,1,1,21,4,40013
2020,1,1,22,3,30001
2020,1,1,23,3,30001
2020,1,1,24,9,90001
2020,1,1,25,4,40013
2020,1,1,26,3,30001
2020,1,1,27,4,40013
2020,1,1,28,4,40013
2020,1,1,29,9,90001
2020,1,1,30,4,40013
2020,1,1,31,9,90001
2020,1,1,32,3,30001
2020,1,1,33,4,40013
2020,1,1,34,3,30001
2020,1,1,35,4,40013
2020,1,1,36,9,90001
2020,1,1,37,9,90001
2020,1,1,38,9,90001
2020,1,1,39,3,30001
2020,1,1,40,4,40013
2020,1,1,41,3,30001
2020,1,1,42,4,40013
2020,1,1,43,3,30001
2020,1,1,44,4,40013
2020,1,1,45,3,30001
2020,1,1,46,4,40013
2020,1,1,47,3,30001
2020,1,1,48,3,30001
2020,1,1,49,9,90001
2020,1,1,50,12,120103
2020,1,1,51,12,120302
2020,1,1,52,9,90001
2020,1,1,53,4,40013
2020,1,1,54,3,30001
2020,1,1,55,9,90001
2020,1,1,56,4,40013
2020,1,1,57,9,90001
2020,1,1,58,12,121401
2020,1,1,59,9,90001
2020,1,1,60,4,40013
2020,1,1,61,10,100006
2020,1,1,62,4,40013
2020,1,1,63,4,40013
2020,1,1,64,4,40013
2020,1,1,65,4,40013
2020,1,1,66,9,90001
2020,1,1,67,4,40013
2020,1,1,68,3,30001
2020,1,1,69,4,40013
2020,1,1,70,4,40013
2020,1,1,71,9,90001
2020,1,1,72,4,40013
2020,1,1,73,12,120103
2020,1,1,74,4,40013
2020,1,1,75,3,30001
2020,1,1,76,9,90001
2020,1,1,77,3,30001
2020,1,1,78,9,90001
2020,1,1,79,3,30001
2020,1,1,80,4,40002
2020,1,1,81,3,30001
2020,1,1,82,3,30001
2020,1,1,83,4,40013
2020,1,1,84,4,40013
2020,1,1,85,4,40013
2020,1,1,86,4,40013
2020,1,1,87,9,90001
2020,1,1,88,3,30001
2020,1,1,89,3,30001
2020,1,1,90,4,40013
